date,time,temp,hum
2021 10 16,0:09:05,29.9,85.4
2021 10 16,0:09:23,29.9,85.4
2021 10 16,0:09:38,29.9,85.4
2021 10 16,0:10:01,29.9,85.4
2021 10 16,0:10:17,29.9,85.4
2021 10 16,0:10:32,29.9,85.4
2021 10 16,0:10:51,29.9,85.4
2021 10 16,0:11:06,29.9,85.4
2021 10 16,0:11:22,29.9,85.4
2021 10 16,0:11:37,29.9,85.4
2021 10 16,0:11:55,29.9,85.4
2021 10 16,0:12:11,29.9,85.4
2021 10 16,0:12:29,29.9,85.4
2021 10 16,0:12:47,29.9,85.3
2021 10 16,0:13:05,29.9,85.4
2021 10 16,0:13:26,29.9,85.4
2021 10 16,0:13:41,29.9,85.4
2021 10 16,0:13:57,29.9,85.8
2021 10 16,0:14:12,29.9,85.5
2021 10 16,0:14:28,29.9,85.5
2021 10 16,0:14:43,29.9,85.5
2021 10 16,0:14:59,29.9,85.5
2021 10 16,0:15:22,29.9,85.5
2021 10 16,0:15:37,29.9,85.5
2021 10 16,0:15:53,29.9,85.5
2021 10 16,0:16:09,29.9,85.5
2021 10 16,0:16:34,29.9,85.5
2021 10 16,0:16:52,30,88.5
2021 10 16,0:17:15,30,85.5
2021 10 16,0:17:31,30,85.4
2021 10 16,0:17:46,30,86.6
2021 10 16,0:18:12,30.5,84.7
2021 10 16,0:18:35,30.3,58.8
2021 10 16,0:18:51,30.4,84.5
2021 10 16,0:19:11,30.2,84.5
2021 10 16,0:19:29,30.2,84.6
2021 10 16,0:19:45,30.1,84.5
2021 10 16,0:20:01,30.1,84.7
2021 10 16,0:20:31,30.1,84.9
2021 10 16,0:20:47,30,84.8
2021 10 16,0:21:15,30,85.1
2021 10 16,0:21:30,30,85.1
2021 10 16,0:21:49,30,85.3
2021 10 16,0:22:04,30,85.3
2021 10 16,0:22:20,29.9,85.2
2021 10 16,0:22:35,30,85.4
2021 10 16,0:22:56,29.9,85.4
2021 10 16,0:23:19,29.9,85.5
